Contrast: Hatched Egg_Unhatched Egg,,,,,,,,
,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,
71d02c5aa4d978c87190eca2004dce60,,,,,,,,
79d854fe89f681bdba8de068e87f48bb,,,,,,,,
336d367de8fd84bc93b4f8f23dc9dde2,,,,,,,,
5dd02d0f89c239fd1e9b6abf2a561130,***,,,,,,,
d3c25a17251d966efda9c704331bde28,,,,,,,,
1233469547a3370da46025c54bac53d6,.,,,,,,,
dde22b90f700123702e4889ec0ba7039,,,,,,,,
822d636d9c57d4a7bebb281e5dfaed9f,,,,,,,,
700f7ae7cd3b3c89de9523dc050adf74,**,,,,,,,
02c9292683676d5a105454964336f5c5,.,,,,,,,
c8f6357bd32659bec6ff119a48cd0f4a,,,,,,,,
e314931f1c7cad13aec2759b85ee4273,,,,,,,,
c94a7d7e3f2dce0b4d4c4f6f849eb878,,,,,,,,
b1cff4530233b484b21ca6db52c5d257,,,,,,,,
4fdfa62fd97e871b7cc284a180983816,,,,,,,,
013a7cbf5b7e0420b7c397ee8052b8c6,,,,,,,,
334e1b08a0d169bc507c922d0ae22e75,***,,,,,,,
f9ffd13fb0d667bd1a0f977536c0b67a,,,,,,,,
59375a0311570a3cef40087d4b6c42b4,,,,,,,,
e0ebea8fc0446d4854b48dd95db67e21,,,,,,,,
787a3df59922afc90301151ea01b7c7b,,,,,,,,
6731bc05c8ba7ada6bf032d14af05613,**,,,,,,,
cbe32a1d7325e3bb3bdfe21d3569364b,*,,,,,,,
081f42427bf6cf3bb2471f4efec3520e,**,,,,,,,
183056127a3f94bc828fd23062dd9465,,,,,,,,
062daff76602f04235c2d39d58315162,***,,,,,,,
ca9895ffec4072e8a8056f95071a6ae0,*,,,,,,,
a50e46127e32d57c3f21c21f1d4a7297,*,,,,,,,
e965315323c00eac43896c84313b6d2b,,,,,,,,
45c35f88d8f9100b01f525861192d0fc,,,,,,,,
71cd8596df4c7dd9ad798c07c7800f87,***,,,,,,,
9d269259a4b457c44d62d9196b4adcda,,,,,,,,
610a48e1e2e6635df613b88712801f10,**,,,,,,,
7685cb95fa77d91b70afb46485ac20a6,,,,,,,,
e1801d16ed073d91a82e5d9c33d350dc,,,,,,,,
fa73781222ed3d0cecfdd7d5a9c64c50,,,,,,,,
d1099e14450efe720a6b5844b64c63b6,*,,,,,,,
39fbf2d4f0cb244eba3eac49681f1143,,,,,,,,
21dbf322b7a11b1414c4c4b994c0e180,,,,,,,,
118629f17ba5b27b952564e511572f42,,,,,,,,
f15b54332828ff106639873084622867,,,,,,,,
016a38c286f8bd0508e89e6f23300f08,***,,,,,,,
4fdf505d8472abc92c3e8910c331f75d,,,,,,,,
ac6639741476abec934aac289e8e7564,**,,,,,,,
65d6acbe6b2b3ef2abf0065a9ec98d99,,,,,,,,
897dd8ea412c989952efe128d28ae545,.,,,,,,,
a3e4812b21dfb4d85852ff5dc5984d90,*,,,,,,,
2a6b1783800bf5a1fbfb781e36f7590a,,,,,,,,
a671a93551491834013445037e1d192b,,,,,,,,
2ecfaff1d363d6ecd75287907f39b79e,,,,,,,,
942d4f79ab6da48e55cc43660fbe0888,,,,,,,,
ba681173f9e471605ad9e4cfd1b864e0,,,,,,,,
d1f0127aea231d51e8b758009c917a61,*,,,,,,,
baa4ef1d1a13fc40f49ed5be9bae17f2,,,,,,,,
"[ reached 'max' / getOption(""ma","x.print"")",#NAME?,16391,rows ],,,,
---,,,,,,,,
Signif. codes:  0 æ***Æ 0.001 æ*,*Æ 0.01 æ*,Æ 0.05 æ.Æ,0.1 æ,Æ 1,,,,
Permutation: free,,,,,,,,
Number of permutations: 999,,,,,,,,
Number of permutations: 999,,,,,,,,
