Contrast: Hatched Egg_Unhatched Egg,,,,,,,,,,,,,
,,,,,,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,,,,,,
8e23e10f656b2e30c4978fd8fc5959d5,,,,,,,,,,,,,
68ee821533667d5f2a9897a1f730140f,,,,,,,,,,,,,
36d880a44d943ae31cc982dbc4a29154,,,,,,,,,,,,,
d1099e14450efe720a6b5844b64c63b6,*,,,,,,,,,,,,
61e3a05af55019d8d29ea8ddbfee780d,,,,,,,,,,,,,
f20e7aef6c8f361d01055cd28c4b947e,,,,,,,,,,,,,
016a38c286f8bd0508e89e6f23300f08,,,,,,,,,,,,,
8758879d625c1989b6a1f2ab09ea505f,,,,,,,,,,,,,
942d4f79ab6da48e55cc43660fbe0888,,,,,,,,,,,,,
a7a147ba43fb5888f6b2452b85ca8569,,,,,,,,,,,,,
305fad7794af19b61bd043d53cde28ec,,,,,,,,,,,,,
61d1a23dc17dfa7ed4b837b043abf54d,,,,,,,,,,,,,
ab7d7e099c66897d370e6497b7fb908c,,,,,,,,,,,,,
e2f013c43b62b3b3b617043ac278654c,,,,,,,,,,,,,
5dd02d0f89c239fd1e9b6abf2a561130,**,,,,,,,,,,,,
288f1ad728f173c18a3dd1760fd34178,,,,,,,,,,,,,
24abd7240af447afa0b54d7160d911b5,.,,,,,,,,,,,,
b1cff4530233b484b21ca6db52c5d257,.,,,,,,,,,,,,
f29fd025ded5591fa45443c97a8c710a,,,,,,,,,,,,,
d1bf9c378fd51fc97553c2ef96454fa0,,,,,,,,,,,,,
5e4f944bf86157726cb89b516d622ffd,**,,,,,,,,,,,,
98bef8abbe840e2d979b75ea7633b0e8,*,,,,,,,,,,,,
700f7ae7cd3b3c89de9523dc050adf74,,,,,,,,,,,,,
c59eb2f234eb64bf2151aa2ce2940b76,,,,,,,,,,,,,
6cc87325b7815ff69cb113006fa5dfd5,,,,,,,,,,,,,
35ba0ce07309312135a5e61c896e5c8a,,,,,,,,,,,,,
01dcc5a0537b0887e3610980878207a4,***,,,,,,,,,,,,
672337ca53157b1bbc61b2a42b7c72f2,,,,,,,,,,,,,
015273a5f891c445c03729d5524fd3a1,,,,,,,,,,,,,
2db9c9272d03c08353ad07d1789f8901,*,,,,,,,,,,,,
3d941b5eca71d65013eac7774ae32654,,,,,,,,,,,,,
062daff76602f04235c2d39d58315162,***,,,,,,,,,,,,
7d96cef884086160e9fe266b8f267019,*,,,,,,,,,,,,
8320c5e679d852bdef544be572042681,,,,,,,,,,,,,
ca9895ffec4072e8a8056f95071a6ae0,,,,,,,,,,,,,
b7bbd7b29146ecc671451040248ca3d3,,,,,,,,,,,,,
2da70b067d7a320d72917907794bec11,,,,,,,,,,,,,
,[,reached,'max',/,"getOption(""max.print"")",--,omitted,16391,rows,],,,
---,,,,,,,,,,,,,
Signif.,codes:,0,‘***’,0.001,‘**’,0.01,‘*’,0.05,‘.’,0.1,‘,’,1
Permutation:,free,,,,,,,,,,,,
Number,of,permutations:,999,,,,,,,,,,
Number of permutations: 999,,,,,,,,,,,,,
