Contrast: Hatched Egg_Unhatched Egg,,,,,,,,
,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,
72b5e7b223e0904d6dd5bfea86bdae1c,***,,,,,,,
f68daaca652da726aaabf841a3a3a4ba,***,,,,,,,
5c2b47983d92cc3cc09bc005906b2212,***,,,,,,,
74f8324925049e692ded7c8f8131a7de,.,,,,,,,
cb493cf3102179d939b8a47f700a786f,*,,,,,,,
91d688c973fa105eac82ae34536569bc,***,,,,,,,
c2556d10d86d2961efe7110b18d380c7,***,,,,,,,
f2d7b7ec22817e0585e8d3f87e4f6f6e,**,,,,,,,
2ae0f52560c00c969f820ae6b6fb115f,**,,,,,,,
adbb1498f1dcfeed13db8c9f228f5eb4,**,,,,,,,
6731bc05c8ba7ada6bf032d14af05613,***,,,,,,,
2d9c0927c41fe00977c4cc751b5c52b4,,,,,,,,
460704bd2880b6e0c87caa2070b20097,**,,,,,,,
5c1a02107d6f21edc9e94690ac5a721c,,,,,,,,
522fccaf4e20abef717533bd224bd68d,**,,,,,,,
f6334d26ed150d46dab2e4dbb7dcde62,*,,,,,,,
a50e46127e32d57c3f21c21f1d4a7297,*,,,,,,,
e6e36c7acbdc33af814292da08b44b99,,,,,,,,
dc83596d4d0bd0e144aead7a53486fcd,*,,,,,,,
5a5cd60c401650043551c33f344c8522,***,,,,,,,
bbc60ed04bef5a4b294bec429e7c7ec3,***,,,,,,,
e36bdf6700966998f0c6929b13db80ab,,,,,,,,
e65fd9bdecd6971a6df6257338244e89,***,,,,,,,
5d95084e371b3b95f082aac9ecf80db1,**,,,,,,,
787a3df59922afc90301151ea01b7c7b,,,,,,,,
3b617940a8ae4d46db58d0a83793f0e8,,,,,,,,
fe81b53d077a7fa4f3813377bd51caf4,***,,,,,,,
71d02c5aa4d978c87190eca2004dce60,,,,,,,,
bc17a57fdb7451088e326bb258fe96cd,,,,,,,,
3e419195da70fbb707bf9446d00d2b93,*,,,,,,,
dd7386872132054a57c15a92a42c1b0e,**,,,,,,,
ebd2450897a18d4158d92b6d6e950b26,**,,,,,,,
03aeed40e95531cde1ff374146f1a068,,,,,,,,
f427cc77a3175ac760d5b1556b65ba17,**,,,,,,,
02c9292683676d5a105454964336f5c5,,,,,,,,
a43d008f9f946bca0a7a5c804d664b0f,.,,,,,,,
fa73781222ed3d0cecfdd7d5a9c64c50,,,,,,,,
664a5696761c2beb24c9a1644748c2f6,*,,,,,,,
71cd8596df4c7dd9ad798c07c7800f87,**,,,,,,,
ac6639741476abec934aac289e8e7564,.,,,,,,,
f66cfb35942df465eef4c123275766fc,,,,,,,,
3df21f1a76bbc0b6441d81b9c20d5436,,,,,,,,
081f42427bf6cf3bb2471f4efec3520e,**,,,,,,,
b95192f739d4edba244aa50a65ad657d,.,,,,,,,
9f961d0b7eadbbc47c9e1fc80a391778,,,,,,,,
6cc87325b7815ff69cb113006fa5dfd5,,,,,,,,
c94a7d7e3f2dce0b4d4c4f6f849eb878,,,,,,,,
7685cb95fa77d91b70afb46485ac20a6,,,,,,,,
94a4cfe2e93c0e96a8c4a484650b6dfd,*,,,,,,,
230cf8978871a250f5f7ae8a91aadf94,.,,,,,,,
305fad7794af19b61bd043d53cde28ec,.,,,,,,,
c39e740778882bfb46217540ed1dcc86,.,,,,,,,
2e6b346f121a96cb91ce439380bbeafc,*,,,,,,,
d1bf9c378fd51fc97553c2ef96454fa0,,,,,,,,
d3c25a17251d966efda9c704331bde28,,,,,,,,
7898d61143c7a5628cdbfdd1754a6079,*,,,,,,,
942d4f79ab6da48e55cc43660fbe0888,,,,,,,,
6bd60643c27bb01d3c586791409c405a,,,,,,,,
1917ecc6a185cc9f86b3d6edfa1045fa,.,,,,,,,
b0475c2d42ad84a03f80d70d9abfc717,,,,,,,,
5511e72b743af21ea2dc91d537bb4dfb,,,,,,,,
61d1a23dc17dfa7ed4b837b043abf54d,,,,,,,,
72fe0ee9b7d7514b96a0c6354c477740,***,,,,,,,
d3dc1bb6adf5f414ef01e2f6a97ae0cc,**,,,,,,,
433ffe3e8472a48735636d27a91aa287,,,,,,,,
336d367de8fd84bc93b4f8f23dc9dde2,*,,,,,,,
334e1b08a0d169bc507c922d0ae22e75,***,,,,,,,
610a48e1e2e6635df613b88712801f10,**,,,,,,,
bdafcd6a04c4a4b48d6ed4003175ba11,,,,,,,,
57b76aadd6cd9eb434c84c4f8ea4265f,,,,,,,,
5ca73d1ce0a4b8e42d36f3d0088dc937,**,,,,,,,
b89294ba58e3a73fc19e560bc01665bd,,,,,,,,
4f283e94aab2450ece1c0cdadcccdf8d,**,,,,,,,
f7135fcd9d3004d495364ce50e3ba0a2,,,,,,,,
06df666ee210020e2bb0dd5c0d82a206,,,,,,,,
dc8a27d3628bd0f7ea10d0f820db0d87,***,,,,,,,
1b926b7a41ac4a734571c261084ad062,,,,,,,,
7989777e7b4a4a1a5e64e05489f0da27,,,,,,,,
79f458b5176b6d4795e229c416de7a95,**,,,,,,,
35ba0ce07309312135a5e61c896e5c8a,*,,,,,,,
85feda73cf45ba235f7adafc232dff67,***,,,,,,,
8aca4a6dbf73163d249df1b1a6d544b8,,,,,,,,
e714cf26ae84fcc0cad46d5bd7186a39,,,,,,,,
d1099e14450efe720a6b5844b64c63b6,***,,,,,,,
baa4ef1d1a13fc40f49ed5be9bae17f2,*,,,,,,,
5dd02d0f89c239fd1e9b6abf2a561130,***,,,,,,,
8758879d625c1989b6a1f2ab09ea505f,***,,,,,,,
395cf5f8cfe9f18126ca772f04bd9b66,,,,,,,,
6ed2cbded69eb8ff12800f4d189b88c1,,,,,,,,
aec7654d709c1b1fb41185801f97bf7a,,,,,,,,
66ea5d31c57c6bc8657f13ced8b9261f,.,,,,,,,
832ea17f4c3cc9a97b06ee99684e1454,,,,,,,,
f29fd025ded5591fa45443c97a8c710a,*,,,,,,,
a41d252e01ef0557ecb28e486eadb2a2,**,,,,,,,
